Item Name,Price
"APPLE iPhone 11 (Purple, 64 GB)",41999
"APPLE iPhone XS Max (Silver, 512 GB)",144900
"APPLE iPhone 6 (Gold, 64 GB)",62500
"APPLE iPhone 12 (Green, 64 GB)",53999
"APPLE iPhone SE (Red, 128 GB)",32990
"APPLE iPhone 12 Pro (Graphite, 512 GB)",106699
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",32990
"APPLE iPhone 7 (Red, 128 GB)",34900
"APPLE iPhone 12 Pro (Graphite, 512 GB)",106699
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",32990
Cellecor E7,1331
"APPLE iPhone 8 (PRODUCT)RED (Red, 256 GB)",81500
"APPLE iPhone 7 (PRODUCT) (Red, 256 GB)",74400
"APPLE iPhone 13 Pro Max (Gold, 256 GB)",139900
Cellecor E3,1176
"APPLE iPhone 7 Plus (Rose Gold, 256 GB)",85400
"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)",49900
"APPLE iPhone XS (Space Grey, 256 GB)",103900
"APPLE iPhone 8 (PRODUCT)RED (Red, 64 GB)",39900
"APPLE iPhone 12 (Green, 64 GB)",53999
"APPLE iPhone 6 (Silver, 64 GB)",62000
"APPLE iPhone XR (Coral, 64 GB)",47900
"APPLE iPhone 7 Plus (Black, 256 GB)",85400
"APPLE iPhone SE (White, 128 GB)",32990
"APPLE iPhone 7 Plus (Rose Gold, 32 GB)",37249
"APPLE iPhone 7 (Black, 128 GB)",34900
"APPLE iPhone 7 (Gold, 128 GB)",34900
"APPLE iPhone XS (Space Grey, 64 GB)",89899
"APPLE iPhone 6 Plus (Silver, 128 GB)",48999
"APPLE iPhone 6s Plus (Silver, 32 GB)",33299
"APPLE iPhone 7 Plus (Gold, 32 GB)",37249
"APPLE iPhone 6 Plus (Space Grey, 64 GB)",48999
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)",125999
"APPLE iPhone SE 3rd Gen (Product (Red), 256 GB)",46599
Cellecor E7,1331
"APPLE iPhone XS (Gold, 256 GB)",103900
"APPLE iPhone 7 Plus (Black, 32 GB)",37249
"APPLE iPhone 7 Plus (Jet Black, 256 GB)",85400
"APPLE iPhone 7 (Gold, 256 GB)",74400
"APPLE iPhone 7 Plus (Rose Gold, 128 GB)",42900
"APPLE iPhone 11 (Yellow, 128 GB)",46999
"APPLE iPhone 13 mini (Midnight, 256 GB)",71999
"APPLE iPhone 6 Plus (Silver, 16 GB)",40999
"APPLE iPhone 6s Plus (Space Grey, 16 GB)",72000
"APPLE iPhone 12 mini (Red, 64 GB)",50999
"APPLE iPhone 13 Pro (Silver, 256 GB)",129900
"APPLE iPhone 11 Pro Max (Silver, 256 GB)",131900
"APPLE iPhone 14 Pro Max (Gold, 1 TB)",177999
"APPLE iPhone 6 Plus (Silver, 64 GB)",48999
"APPLE iPhone 13 Pro (Alpine Green, 256 GB)",129900
"APPLE iPhone 11 Pro Max (Gold, 256 GB)",131900
"APPLE iPhone 13 mini (Blue, 512 GB)",89999
"APPLE iPhone 6s Plus (Rose Gold, 128 GB)",70000
"APPLE iPhone 11 Pro Max (Midnight Green, 512 GB)",150800
"APPLE iPhone 12 Pro (Silver, 128 GB)",78899
"APPLE iPhone 13 Pro (Graphite, 128 GB)",119900
"APPLE iPhone 12 (Green, 128 GB)",56999
"APPLE iPhone 12 mini (Purple, 256 GB)",56999
Cellecor E3,1061
"APPLE iPhone 12 mini (Green, 128 GB)",55999
"APPLE iPhone 8 Plus (Gold, 256 GB)",84900
"APPLE iPhone SE 3rd Gen (Midnight, 128 GB)",37999
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",28990
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)",129900
"APPLE iPhone XS Max (Gold, 64 GB)",109899
"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",84900
"APPLE iPhone 6s Plus (Gold, 128 GB)",92000
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",28990
"APPLE iPhone SE 3rd Gen (Midnight, 256 GB)",46599
"APPLE iPhone 14 Pro (Silver, 256 GB)",129999
"APPLE iPhone SE (Red, 64 GB)",28990
"APPLE iPhone 14 Plus (Blue, 256 GB)",87999
"APPLE iPhone SE 3rd Gen (Starlight, 128 GB)",37999
"APPLE iPhone 7 (Black, 256 GB)",74400
"APPLE iPhone XS (Silver, 512 GB)",134899
"APPLE iPhone 13 Pro (Sierra Blue, 128 GB)",119900
"APPLE iPhone 12 (White, 256 GB)",66999
"APPLE iPhone 7 (Silver, 256 GB)",74400
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)",129900
"APPLE iPhone 11 (Green, 128 GB)",46999
"APPLE iPhone 7 (Jet Black, 256 GB)",74400
"APPLE iPhone 14 Pro Max (Space Black, 1 TB)",177999
Cellecor E3,1061
"APPLE iPhone 13 Pro (Alpine Green, 128 GB)",119900
"APPLE iPhone 8 (Space Grey, 64 GB)",39149
"APPLE iPhone 12 Pro (Graphite, 256 GB)",88199
"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)",52900
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",101999
"APPLE iPhone 6s Plus (Silver, 128 GB)",70000
"APPLE iPhone 13 mini (Starlight, 512 GB)",89999
"APPLE IPhone 4 (White, 8 GB)",13999
"APPLE iPhone 13 mini ((PRODUCT)RED, 128 GB)",61999
"APPLE iPhone 14 Plus (Yellow, 128 GB)",77999
"APPLE iPhone 7 Plus (Silver, 256 GB)",85400
"APPLE iPhone 5s (Gold, 16 GB)",14999
"APPLE iPhone 6 (Silver, 128 GB)",71500
"APPLE iPhone 6 (Grey, 128 GB)",71500
"APPLE iPhone 5C (Pink, 8 GB)",37500
"APPLE iPhone 5C (Yellow, 8 GB)",37500
"APPLE iPhone 11 Pro Max (Space Grey, 512 GB)",150800
"APPLE iPhone 7 Plus (Jet Black, 128 GB)",42900
"APPLE iPhone 13 mini (Starlight, 256 GB)",71999
"APPLE iPhone 11 Pro Max (Silver, 64 GB)",95699
"APPLE iPhone 12 Pro (Graphite, 256 GB)",88199
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",87099
"APPLE iPhone 7 Plus (Silver, 256 GB)",85400
Cellecor E7,1331
"APPLE iPhone 5C (White, 32 GB)",53500
"APPLE iPhone XR (Yellow, 64 GB)",47900
"APPLE iPhone XR (Black, 128 GB)",41699
"APPLE iPhone XS Max (Silver, 256 GB)",124899
"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)",85400
"APPLE iPhone 13 Pro (Gold, 128 GB)",119900
"APPLE iPhone XS (Gold, 64 GB)",89899
"APPLE iPhone XS (Silver, 256 GB)",103900
"APPLE iPhone 12 Pro (Pacific Blue, 256 GB)",88199
"APPLE iPhone 5C (Blue, 8 GB)",14999
"APPLE iPhone 5C (White, 8 GB)",14999
"APPLE iPhone 7 Plus (Gold, 128 GB)",42900
"APPLE iPhone 12 (Green, 128 GB)",56999
"APPLE iPhone 12 Pro (Graphite, 128 GB)",78899
"APPLE iPhone XR (Blue, 128 GB)",52900
"APPLE iPhone 7 Plus (Black, 128 GB)",42900
"APPLE iPhone 11 Pro (Gold, 256 GB)",99949
"APPLE iPhone XS (Silver, 64 GB)",89899
"APPLE iPhone 12 mini (Red, 128 GB)",55999
"APPLE iPhone 7 (Rose Gold, 256 GB)",74400
"APPLE iPhone 11 Pro (Gold, 256 GB)",99949
"APPLE iPhone 7 (Rose Gold, 256 GB)",74400
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",95599
Cellecor E3,1061
"APPLE iPhone 7 Plus (Silver, 32 GB)",37249
"APPLE iPhone 6s (Space Grey, 128 GB)",82000
"APPLE iPhone XR (Blue, 128 GB)",52900
"APPLE iPhone 7 (Jet Black, 128 GB)",34900
"APPLE iPhone 12 Pro Max (Gold, 512 GB)",123299
"APPLE iPhone 11 Pro Max (Gold, 64 GB)",95699
"APPLE iPhone 12 Pro Max (Silver, 256 GB)",129900
"APPLE iPhone XR (White, 128 GB)",41699
"APPLE iPhone SE 3rd Gen (Starlight, 64 GB)",32699
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",52900
